TF	Gene
Aatf	Bak1
Aatf	Bax
Aatf	Bbc3
Aatf	Cdkn1a
Aatf	Tpt1
Aatf	Trp53
Abl1	Trp53
Abl1	Trp73
Aebp2	Jarid2
Aebp2	Snai2
Aes	Ihh
Ahr	Abcc4
Ahr	Apaf1
Ahr	Cyp19a1
Ahr	Cyp1a1
Ahr	Cyp1a2
Ahr	Cyp1b1
Ahr	E2f2
Ahr	Gata4
Ahr	Gsta1
Ahr	Il17a
Ahr	Il6
Ahr	Lhb
Ahr	Nkx2-5
Ahr	Nqo1
Ahr	Pla2g4a
Ahr	Ptgs2
Ahr	Serpinb2
Ahr	Sim1
Ahr	Smoc2
Ahr	Snai2
Ahr	Ugt1a6a
Ahr	Vav3
Aire	Bmp2
Aire	F11
Alx4	Fgf10
Ankrd1	Myl2
Ankrd1	Nppa
Apbb1	Lrp1
Apbb1	Notch1
Apc	Ctnnb1
Apc	Myc
Apc	Spp1
Apc	Tcf4
Apc	Trp53
Apex1	Apod
Apex1	Blk
Apex1	Ccl12
Apex1	Nfkb1
Apex1	Pax5
Apex1	Ptgs2
Apex1	Rela
Apex1	Tlr4
Ar	Ccr2
Ar	Cga
Ar	Fkbp5
Ar	Foxa1
Ar	Klkb1
Ar	Nkx3-1
Ar	Nr0b1
Ar	Psat1
Ar	Runx2
Ar	Scnn1a
Ar	Sox2
Ar	Tnf
Ar	rsl
Arid3a	Cr2
Arid3a	Igh
Arid3b	Igh
Arid5b	Sox9
Arl6ip5	Parp1
Arl6ip5	Xrcc1
Arnt	Atxn3
Arnt	Cyp1a1
Arnt	Cyp1a2
Arnt	Cyp1b1
Arnt	E2f2
Arnt	Sim1
Arnt	Th
Arntl	Bhlhe40
Arntl	Bhlhe41
Arntl	Ctnnb1
Arntl	Cxcl5
Arntl	Dbp
Arntl	Maoa
Arntl	Nfe2l2
Arntl	Per1
Arntl	Per2
Arntl	Tcf3
Arntl	Vwf
Arntl	Wnt10a
Arntl2	Thbd
Arx	Kdm5c
Arx	Shh
Ascl1	Bub1
Ascl1	Cdkn2d
Ascl1	Dll3
Ascl1	Dll4
Ascl1	Hes5
Ascl1	Pdgfra
Ascl1	Phox2a
Ascl1	Rnd3
Ascl1	Tph2
Ash1l	Tgfb1
Ash1l	Timp1
Asxl1	Fabp4
Atf1	Cebpb
Atf1	Hspa5
Atf1	Nudt1
Atf1	Thbs1
Atf2	Ccnd1
Atf2	Cebpa
Atf2	Entpd1
Atf2	Fgf21
Atf2	Fos
Atf2	Gabrb3
Atf2	Il23a
Atf2	Ins2
Atf2	Per1
Atf2	Pparg
Atf2	Rela
Atf2	Rhob
Atf2	Serpinb5
Atf2	Sox9
Atf2	Tnf
Atf2	Ucp1
Atf3	Atf3
Atf3	Ccnd1
Atf3	Gck
Atf3	Il12b
Atf3	Il6
Atf3	Pdx1
Atf3	Sort1
Atf3	Tnfrsf10b
Atf4	Bglap3
Atf4	Cdkn1a
Atf4	Cdkn1b
Atf4	Ddr2
Atf4	Fgf15
Atf4	Fgf2
Atf4	Hspa5
Atf4	Ihh
Atf4	Il6
Atf4	Mcm7
Atf4	Mir106b
Atf4	Sphk2
Atf4	Trib3
Atf6	Hspa5
